Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.001376150714026557     4128                     4.577096408615664        4.799352337771853        0.10754669583373087      0.9741482248066788       0                        0                        0.9999531375             0.05                     0.09997302741477589      0.054793274656145106     0.01                     0.3506489694946342       2.5e-06                  0.4689393968217903       -3.4225826               3.6577926                
400                      0.4778406995534897       1712874                  16.300928551224942       19.866093720275817       -0.003333128163943919    1.0072602171863465       0                        0                        0.978593425              0.05                     0.08840637078676623      0.0038777896825195057    0.01                     0.25811074340405565      2.5e-06                  0.09351325950895746      0.13553452               0.67646843               
800                      0.9756141642067168       3438867                  16.71255735028045        23.026124535854883       -0.003333128163943919    1.0072602171863465       0                        0                        0.9570189                0.05                     0.07808133857845552      0.003527248276592824     0.01                     0.26052847411483526      2.5e-06                  0.06463068374432623      0.09110971               0.9302196                
1200                     1.4660617027017806       5164436                  22.203073035044014       25.0377877602984         -0.003333128163943919    1.0072602171863465       0                        0                        0.9354496250000001       0.05000000000000001      0.06896425714096341      0.0023205583591637455    0.01                     0.2703509759157896       2.5e-06                  0.06439394123541813      -0.23095758              1.0805997                
1600                     1.9571843635373645       6887488                  22.646200646424017       34.53074247907914        -0.003333128163943919    1.0072602171863465       0                        0                        0.9139120875             0.05                     0.060922850997058804     0.005480586248874412     0.01                     0.2698242135035495       2.5e-06                  0.13328598765656352      -0.011453434             0.7763819                
2000                     2.4466135319073996       8612335                  23.18257036797421        35.9160264732196         -0.003333128163943919    1.0072602171863465       0                        0                        0.8923515875             0.05                     0.05381197958358903      0.004193956258378047     0.01                     0.272434095687726        2.5e-06                  0.143716580800566        -0.034836963             0.8585145                
2400                     2.9355265033245086       10335531                 26.789429929082612       36.48135272440355        -0.003333128163943919    1.0072602171863465       0                        0                        0.87080785               0.05                     0.047535670598680586     0.003006280636327574     0.01                     0.2795458737916003       2.5e-06                  0.10108901738810043      -0.25100383              1.060628                 
2800                     3.4264950808551577       12058314                 26.314091762119745       42.13591971749608        -0.003333128163943919    1.0072602171863465       0                        0                        0.8492755375             0.05                     0.04199415469767858      0.0035001947453565663    0.01                     0.261338880751282        2.5e-06                  0.12594697306243083      -0.09410913              0.8593925                
3200                     3.9434230428271824       13779177                 28.266185422719435       49.97783636803831        -0.003333128163943919    1.0072602171863465       0                        0                        0.82776485               0.05                     0.03710326472755556      0.003640332990828171     0.01                     0.27481379929710836      2.5e-06                  0.12967914759236224      0.075647846              0.74020886               
3600                     4.459927477373017        15498946                 28.681714176613912       42.48744036504929        -0.003333128163943919    1.0072602171863465       0                        0                        0.80626715               0.05                     0.03278444794424182      0.003919815924746217     0.01                     0.2764770093684395       2.5e-06                  0.1271306846756488       -0.52721375              1.261806                 
4000                     4.948672296338612        17218906                 29.442782980267353       50.64040368126456        -0.003333128163943919    1.0072602171863465       0                        0                        0.7847659625000001       0.05                     0.028967759505582946     0.005229892271624219     0.01                     0.2666469916390876       2.5e-06                  0.14867424545809627      -0.21181576              1.2649696                
4400                     5.436606168680721        18937879                 36.41274353370169        53.686494799434996       -0.003333128163943919    1.0072602171863465       0                        0                        0.7632829125             0.05                     0.0255980734719541       0.003620263059251467     0.01                     0.27477090900727347      2.5e-06                  0.15084670535197445      0.22362384               0.8329628                
4800                     5.925368817183706        20659103                 32.26887544662288        69.26186511520814        -0.003333128163943919    1.0072602171863465       0                        0                        0.7417658375             0.05                     0.022615937419602817     0.003647612253795766     0.01                     0.2663695001974702       2.5e-06                  0.15198863972909749      -0.024099672             0.9361397                
5200                     6.416570330063502        22382179                 45.30475660777616        72.62874245672344        -0.003333128163943919    1.0072602171863465       0                        0                        0.7202251000000001       0.05                     0.01997849411286203      0.004904877217086323     0.01                     0.27080745343118906      2.5e-06                  0.11671401785376172      0.13161942               0.6247218                
5600                     6.906623293095165        24102489                 49.6720970639966         78.58908229564943        -0.003333128163943919    1.0072602171863465       0                        0                        0.6987236125             0.05                     0.017652614260734494     0.005969359657576526     0.01                     0.27416597715779845      2.5e-06                  0.12990196348697533      -0.033410817             1.1130761                
6000                     7.39724245303207         25823359                 40.26721294032859        79.13250770980333        -0.003333128163943919    1.0072602171863465       0                        0                        0.67721315               0.05                     0.015596705614973538     0.0054670127277252805    0.01                     0.2689616531133652       2.5e-06                  0.13778409369600317      -0.39911017              0.8262949                
